Image size and method, nmc, ldc, qdc, fisherc, loglc, knnc, parzenc, svc, randomforestc, bpxnc, lmnc, neurc, rnnc30 x 30 nearest, 0.900, 0.900, 0.900, 0.300, 0.340, 0.260, 0.900, 0.350, 0.660, 0.870, 0.800, 0.770, 0.630
30 x 30 bilinear, 0.900, 0.900, 0.900, 0.350, 0.380, 0.230, 0.900, 0.300, 0.480, 0.880, 0.870, 0.700, 0.580
30 x 30 bicubic, 0.900, 0.900, 0.900, 0.300, 0.400, 0.240, 0.900, 0.330, 0.380, 0.900, 0.840, 0.760, 0.580
25 x 25 nearest, 0.880, 0.900, 0.900, 0.290, 0.370, 0.240, 0.240, 0.290, 0.650, 0.890, 0.720, 0.790, 0.620
25 x 25 bilinear, 0.830, 0.900, 0.900, 0.350, 0.400, 0.230, 0.230, 0.340, 0.390, 0.870, 0.760, 0.710, 0.640
25 x 25 bicubic, 0.830, 0.900, 0.900, 0.340, 0.410, 0.250, 0.250, 0.310, 0.240, 0.890, 0.760, 0.750, 0.610
20 x 20 nearest, 0.420, 0.900, 0.900, 0.270, 0.340, 0.270, 0.270, 0.330, 0.690, 0.850, 0.720, 0.690, 0.570
20 x 20 bilinear, 0.390, 0.900, 0.900, 0.430, 0.400, 0.230, 0.230, 0.290, 0.420, 0.880, 0.810, 0.690, 0.580
20 x 20 bicubic, 0.380, 0.900, 0.900, 0.370, 0.410, 0.230, 0.230, 0.300, 0.360, 0.840, 0.750, 0.700, 0.540
15 x 15 nearest, 0.300, 0.900, 0.900, 0.370, 0.440, 0.270, 0.270, 0.350, 0.690, 0.890, 0.800, 0.670, 0.620
15 x 15 bilinear, 0.300, 0.900, 0.900, 0.400, 0.470, 0.240, 0.230, 0.260, 0.390, 0.860, 0.740, 0.700, 0.470
15 x 15 bicubic, 0.280, 0.900, 0.900, 0.420, 0.450, 0.250, 0.240, 0.310, 0.320, 0.870, 0.700, 0.760, 0.580
10 x 10 nearest, 0.300, 0.820, 0.900, 0.770, 0.810, 0.280, 0.280, 0.370, 0.820, 0.830, 0.860, 0.690, 0.580
10 x 10 bilinear, 0.280, 0.660, 0.900, 0.640, 0.590, 0.280, 0.260, 0.230, 0.340, 0.840, 0.740, 0.710, 0.520
10 x 10 bicubic, 0.280, 0.690, 0.900, 0.690, 0.650, 0.270, 0.250, 0.260, 0.370, 0.760, 0.810, 0.660, 0.460
5 x 5 nearest, 0.440, 0.470, 0.830, 0.490, 0.520, 0.450, 0.450, 0.520, 0.860, 0.870, 0.770, 0.700, 0.610
5 x 5 bilinear, 0.290, 0.230, 0.780, 0.290, 0.300, 0.240, 0.220, 0.570, 0.360, 0.850, 0.630, 0.710, 0.400
5 x 5 bicubic, 0.280, 0.230, 0.780, 0.270, 0.300, 0.260, 0.230, 0.410, 0.430, 0.850, 0.630, 0.640, 0.360
